X,Y,objectid,townname,towncensuscode2011,town_lgd_code,ward_lgd_code,ward_lgd_name,sourcewardcode,state,st_area(shape),st_length(shape)
73.0976648717949,19.1701876707957,"94",Kalyan-Dombivli,"802790","251483","2517880",Kalyan-Dombivli (M Corp.) - Ward No.120,"120",Maharashtra,6470077.08844384,11311.1971918025
73.1049855961733,19.1982088135054,"95",Kalyan-Dombivli,"802790","251483","2517870",Kalyan-Dombivli (M Corp.) - Ward No.110,"110",Maharashtra,1099722.98906417,4398.14130322768
73.1004613013856,19.1889015915799,"96",Kalyan-Dombivli,"802790","251483","2517876",Kalyan-Dombivli (M Corp.) - Ward No.116,"116",Maharashtra,1984039.97146354,6033.78444515096
73.1291150459293,19.2057817877155,"97",Kalyan-Dombivli,"802790","251483","2517868",Kalyan-Dombivli (M Corp.) - Ward No.108,"108",Maharashtra,2698662.12474268,7464.83250336286
73.0959776822903,19.1968768639927,"98",Kalyan-Dombivli,"802790","251483","2517871",Kalyan-Dombivli (M Corp.) - Ward No.111,"111",Maharashtra,1368565.0659625,7973.94655091904
73.1216005400959,19.2162980766423,"100",Kalyan-Dombivli,"802790","251483","48909",Kalyan-Dombivli (M Corp.) - Ward No.86,"86",Maharashtra,698736.01999482,3649.77907958974
73.1280879988052,19.2164735872427,"101",Kalyan-Dombivli,"802790","251483","2517867",Kalyan-Dombivli (M Corp.) - Ward No.107,"107",Maharashtra,576121.84509943,4225.13921842352
73.1494208214189,19.1937467194792,"102",Kalyan-Dombivli,"802790","251483","2517879",Kalyan-Dombivli (M Corp.) - Ward No.119,"119",Maharashtra,8022992.12558942,13743.0893848978
73.1297080652456,19.220022740851,"103",Kalyan-Dombivli,"802790","251483","48910",Kalyan-Dombivli (M Corp.) - Ward No.87,"87",Maharashtra,415139.026802695,4361.30114471151
73.1302762737455,19.222549151053,"104",Kalyan-Dombivli,"802790","251483","48911",Kalyan-Dombivli (M Corp.) - Ward No.88,"88",Maharashtra,190097.487479095,1880.80488426958
73.1346350748357,19.2272567734434,"105",Kalyan-Dombivli,"802790","251483","48913",Kalyan-Dombivli (M Corp.) - Ward No.90,"90",Maharashtra,164650.31309491,1900.04124055068
73.1332639256606,19.220187186979,"106",Kalyan-Dombivli,"802790","251483","2517860",Kalyan-Dombivli (M Corp.) - Ward No.100,"100",Maharashtra,516981.90552426,3828.12363843738
73.1364655118045,19.2225512092843,"107",Kalyan-Dombivli,"802790","251483","2517859",Kalyan-Dombivli (M Corp.) - Ward No.99,"99",Maharashtra,152144.628920175,1948.7090841399
73.1388772192086,19.2233282022667,"108",Kalyan-Dombivli,"802790","251483","2517858",Kalyan-Dombivli (M Corp.) - Ward No.98,"98",Maharashtra,179660.644759875,2239.33780141267
73.1425556621951,19.2263973718707,"109",Kalyan-Dombivli,"802790","251483","2517857",Kalyan-Dombivli (M Corp.) - Ward No.97,"97",Maharashtra,189268.69890961,2083.00384453089
73.1452703965578,19.2270990169185,"110",Kalyan-Dombivli,"802790","251483","48919",Kalyan-Dombivli (M Corp.) - Ward No.96,"96",Maharashtra,198384.259616795,2111.38362311143
73.1482341809063,19.2230024806838,"111",Kalyan-Dombivli,"802790","251483","2517863",Kalyan-Dombivli (M Corp.) - Ward No.103,"103",Maharashtra,211110.408650425,1858.6444891515
73.1518597270178,19.2252028009961,"112",Kalyan-Dombivli,"802790","251483","48918",Kalyan-Dombivli (M Corp.) - Ward No.95,"95",Maharashtra,291648.877202795,3503.47010885236
73.1508947453214,19.2199842061349,"113",Kalyan-Dombivli,"802790","251483","2517864",Kalyan-Dombivli (M Corp.) - Ward No.104,"104",Maharashtra,320449.591904525,2842.97667448076
73.1048000465608,19.2128479970728,"114",Kalyan-Dombivli,"802790","251483","48907",Kalyan-Dombivli (M Corp.) - Ward No.84,"84",Maharashtra,1501488.16715072,6604.95497701576
73.1118641780078,19.2118402741646,"115",Kalyan-Dombivli,"802790","251483","48908",Kalyan-Dombivli (M Corp.) - Ward No.85,"85",Maharashtra,1151331.89618532,7528.55337811523
73.1461037057911,19.2210769232535,"116",Kalyan-Dombivli,"802790","251483","2517862",Kalyan-Dombivli (M Corp.) - Ward No.102,"102",Maharashtra,405374.443225715,3701.82044912716
73.1408410066895,19.2219689027837,"117",Kalyan-Dombivli,"802790","251483","2517861",Kalyan-Dombivli (M Corp.) - Ward No.101,"101",Maharashtra,303194.91990598,3556.08391088496
73.1479163728894,19.2144320407897,"118",Kalyan-Dombivli,"802790","251483","2517865",Kalyan-Dombivli (M Corp.) - Ward No.105,"105",Maharashtra,618386.41495648,3927.12339813906
73.149081614033,19.2103040279969,"119",Kalyan-Dombivli,"802790","251483","2517878",Kalyan-Dombivli (M Corp.) - Ward No.118,"118",Maharashtra,631980.63172785,4956.82070153096
73.138041203784,19.2127798598689,"120",Kalyan-Dombivli,"802790","251483","2517866",Kalyan-Dombivli (M Corp.) - Ward No.106,"106",Maharashtra,1391452.83594367,5092.23897541189
73.0792745902881,19.2153678029646,"121",Kalyan-Dombivli,"802790","251483","48886",Kalyan-Dombivli (M Corp.) - Ward No.63,"63",Maharashtra,202929.78911425,2683.26487435965
73.0799085254587,19.2270995581374,"122",Kalyan-Dombivli,"802790","251483","48879",Kalyan-Dombivli (M Corp.) - Ward No.56,"56",Maharashtra,252530.55586216,2439.37438868828
73.1316668982933,19.2344079598895,"123",Kalyan-Dombivli,"802790",,,,"9001",Maharashtra,524679.36909186,5227.16522058089
